fe,fmu,ftau,chi2,ndof,shape_normalized
0.0333333333,0.1,0.8666666666666667,0.19923063496118573,25,True
0.0333333333,0.1333333333,0.8333333333333334,0.14546547083322672,25,True
0.0333333333,0.1666666667,0.8,0.10242883618360503,25,True
0.0333333333,0.2,0.7666666666666666,0.06864737057926963,25,True
0.0333333333,0.2333333333,0.7333333333333333,0.04286393902575904,25,True
0.0333333333,0.2666666667,0.7,0.024002360840358006,25,True
0.0333333333,0.3,0.6666666666666666,0.01113852084461247,25,True
0.0333333333,0.3333333333,0.6333333333333333,0.0034765933548690214,25,True
0.0333333333,0.3666666667,0.6,0.00032938496250055127,25,True
0.0333333333,0.4,0.5666666666666667,0.0011020114396149473,25,True
0.0333333333,0.4333333333,0.5333333333333333,0.005278287498608135,25,True
0.0333333333,0.4666666667,0.5,0.012409334145078485,25,True
0.0333333333,0.5,0.4666666666666667,0.02210400660389781,25,True
0.0333333333,0.5333333333,0.43333333333333335,0.03402082356875008,25,True
0.0333333333,0.5666666667,0.4,0.047861139117968,25,True
0.0333333333,0.6,0.36666666666666664,0.06336334737769492,25,True
0.0333333333,0.6333333333,0.3333333333333333,0.08029794881152792,25,True
0.0333333333,0.6666666667,0.3,0.09846333740997715,25,True
0.0333333333,0.7,0.26666666666666666,0.11768219347118866,25,True
0.0333333333,0.7333333333,0.23333333333333334,0.1377983868025009,25,True
0.0333333333,0.7666666667,0.2,0.15867431099942242,25,True
0.0333333333,0.8,0.16666666666666666,0.1801885833080943,25,True
0.0333333333,0.8333333333,0.13333333333333333,0.2022340553792818,25,True
0.0333333333,0.8666666667,0.1,0.2247160887750198,25,True
0.0333333333,0.9,0.06666666666666667,0.24755105690427248,25,True
0.0333333333,0.9333333333,0.03333333333333333,0.27066504101247807,25,True
0.0333333333,0.9666666667,0.0,0.29399269268206846,25,True
0.0666666667,0.0,0.9333333333333333,0.44372370298447067,25,True
0.0666666667,0.0333333333,0.9,0.34494466078404024,25,True
0.0666666667,0.0666666667,0.8666666666666667,0.2634963237723973,25,True
0.0666666667,0.1,0.8333333333333334,0.19686817314937485,25,True
0.0666666667,0.1333333333,0.8,0.14294662248425427,25,True
0.0666666667,0.1666666667,0.7666666666666666,0.09994489216521903,25,True
0.0666666667,0.2,0.7333333333333333,0.06634664298554613,25,True
0.0666666667,0.2333333333,0.7,0.04086040193864298,25,True
0.0666666667,0.2666666667,0.6666666666666666,0.022382510931887624,25,True
0.0666666667,0.3,0.6333333333333333,0.009966845684785565,25,True
0.0666666667,0.3333333333,0.6,0.0027999453017822436,25,True
