E_GeV,A_mu_m2,A_tau_m2,A_e_m2
53478.55001849638,5813.214770621723,10987.999265431983,15140.503246783956
55958.41847795125,6062.364282183988,11261.556172522243,15596.6567786984
58553.281595527515,6322.598269060519,11544.341950443193,16067.960627956956
61268.47181994658,6594.422755787459,11836.838027964304,16555.031045511158
64109.56887236731,6878.367262600333,12139.56126668076,17058.517591839787
67082.41121272345,7174.985908232278,12453.067046536133,17579.105428233026
70193.10803776972,7484.858564825849,12777.952638747834,18117.517787687244
73448.05183549362,7808.592067431592,13114.860893632556,18674.518640264378
76853.93152169025,8146.821480684082,13464.484273489115,19250.915569022967
80417.74618569713,8501.605892592044,13846.781463572765,19861.507546208344
84146.81947353669,8883.41789875868,14396.453814230488,20604.969233370644
88048.81463802213,9282.61071907407,14970.708038607687,21378.511216580984
92131.7502867579,9699.984318235836,15570.882288557776,22183.529881375558
96404.01686039334,10136.37580486392,16198.406274005427,23021.499666553605
100874.39387499375,10571.049217520887,16849.886023635278,23886.93776042549
105552.06796396407,10930.16639370536,17510.297453940977,24755.722958940845
110446.65175659754,11301.490750620967,18201.496649725043,25656.623749031
115568.20363204762,11685.437469346733,18925.353158200516,26590.854206221382
120927.24838931688,12082.435859178335,19683.88252842551,27559.67568103655
126534.79887573828,12492.929838635537,20479.259582553263,28564.39870921057
132402.3786183992,12912.805405792782,21266.80033535656,29740.050079519235
138542.04550501116,13339.839058263471,22021.542998813802,31170.821194135835
144966.41656289157,13781.016799535237,22813.16792628629,32670.502201532014
151688.6938869808,14236.807787189191,23644.288294762264,34242.41619896912
158722.6917701721,14707.696761909194,24517.749855879883,35890.04676759848
166082.8650917089,15194.18456573541,25436.653552716216,37617.04573554883
173784.339021993,15696.78867757436,26404.380397798956,39427.241317244436
181842.94010483456,16216.04376653999,27424.618840245792,41324.64664722202
190275.22878103374,16752.502263721308,28501.394872962333,43313.46872761351
199098.53342011737,17306.73495298962,29639.105156177542,45398.117809386094
208330.98593017051,17170.80163857208,29964.809936618884,46122.02453545011
217991.55901894494,16974.053538515316,30208.223738233573,46697.76382068212
228100.10518280932,16794.875222796476,30464.208025340326,47282.627347371665
238677.3975036654,16633.292481982753,30733.263148899612,47876.82029313034
249745.17233767686,16489.35256098917,31015.91067050486,48480.553944950305
261326.1739835165,16363.124513208844,31312.69427824227,49094.04590716661
273444.2014219492,16254.699585819732,31624.180742557575,49717.52031684149
286124.15722278174,16164.191637168602,31950.960913887022,50351.20806683936
299392.09871968976,15974.008278666677,32490.891308795093,51329.09595238152
313275.2915580926,15744.730764125468,128836.09174502501,52471.48368613623
327802.26572610537,15524.552452494841,169088.12832559148,53640.322994525704
343002.8741837172,15313.26249021448,225738.60021986178,54836.25830133058
358908.3542106889,15110.656881242914,305563.93194439315,56059.95076333421
375551.39159921394,14916.538322445987,418143.6031383572,57312.07873727074
392966.18782329187,14730.716044420802,577019.7308766884,58593.33826076644
411188.530322821,15037.138647320073,687012.6567719125,60310.94203102684
430255.866046854,15686.880070601352,748525.0930567028,62430.331865685184
450207.37840715545,16376.99799401736,812987.0354935998,64749.55727888755
471084.06780018634,17153.226996042613,883594.835192246,68418.79293848237
492928.83586299524,17975.98256542976,960504.4160523687,72409.56304006033
515786.5736361708,18848.23454155549,1044290.1270869148,76763.78449947329
539704.2538150145,19773.146521975803,1135580.1604835577,81529.93489114668
564731.0272785155,20754.08857522939,1235061.8300196931,86764.13822414057
590918.3240945142,21794.65078910563,1343487.403285298,92531.43305182218
618319.9592085754,22898.657709304578,1461680.5513443535,98907.25364613929
646992.2430338181,24070.183727031686,1590543.487563335,105979.16015165631
676994.0971689185,25313.56947791678,1731064.8765649444,113848.85969338464
708387.175482105,26641.64722760542,1884027.791848796,122231.07192895342
741235.9908099851,28074.967892532826,2050066.9131512784,130472.38536386377
775608.047531545,29596.249144437443,2231323.9759738264,139824.82925029928
811573.9802897727,31218.606187297257,2429245.81497557,150476.60921696242
849207.6991460031,32957.361077263704,2645424.7389905797,162648.08847112325
888586.5414652141,34803.166118860936,2881558.4908014224,176571.56805399767
929791.4308444796,36120.17972218301,3123153.084924285,182940.77473096066
972907.0434111116,37230.98021719107,3381001.2344371183,185904.1405862976
1018021.9818322586,38376.54347630543,3644683.1499230023,189433.47764985438
1065228.9573935703,39557.86228553497,3903015.2221322088,193856.30879980914
1114624.980521063,40776.42879999374,4181073.1531201447,198417.28488842695
1166311.560137723,42033.44562081815,4480818.568196609,203121.18753569998
1220394.912264565,43330.15519420687,4803763.868139435,207972.9685365003
1276986.1782947276,44667.84117314802,5151544.354567425,212977.75595913944
1336201.6533892772,46047.82982753635,5525926.349850248,218140.86046285793
1398163.02546398,47471.49150448466,5928816.025834221,223467.7818421006
1462997.6252581947,48940.24214070642,6362268.983715048,228964.2158057204
1530838.687999805,50455.544828920916,6828500.631594938,234636.06099955563
1601825.6272038626,52030.25434679499,7329971.012741924,240647.99511203024
1676104.3211676162,54115.33344640432,7872209.858989686,253373.00186731678
1753827.4127507305,54921.84227203144,8454220.987362038,258507.8179839641
1835154.6230566122,55147.91724300673,9079672.04837023,262006.50188869983
1920253.0796596212,55404.65042570053,9752163.593084669,267934.9473790757
2009297.6600525486,55729.318805161296,10494931.793411748,276202.2791620749
2102471.3510201867,56125.94039727062,11338684.28638291,286782.33149908157
2199965.624677553,56598.82236057136,12265204.535744641,299672.6572834136
2301980.8319454407,56987.869370658256,13267190.645568142,312114.97574194084
2408726.614271939,50369.71414177408,14312081.063013542,207906.8379695383
2520422.334446037,46523.07574957802,15463649.799595386,153646.95040804986
2637297.527388569,46160.271707719774,16725831.414101245,169814.89689293242
2759592.3718468966,45809.30277526406,18091546.2236805,189745.25211163418
2887558.183962759,45470.16011410128,19569245.808859866,213934.1802841447
3021457.9337273533,45336.204539007886,21168166.409895465,243332.49588580188
3161566.785385235,46254.74045814386,22898579.102815557,280030.8614435443
3308172.6628973526,47192.72570794143,24770738.591890365,322851.9521417673
3461576.8416253193,48150.566200523564,26796259.382863026,372812.65540475014
3622094.5674529085,49132.70899976206,28987844.38512117,431309.07959922834
3790055.7046169303,50136.78560445833,31358999.39350942,499639.19256118016
3965805.4135788474,51161.922643108424,33731657.8719561,579367.4176694945
4149704.8603302743,52208.56207342195,35482103.2355205,3308710.7103328095
4342131.958589677,53277.155169098005,36819975.63269422,8135247.6671464695
4543482.146415885,54368.16271702126,38208404.545324184,13668167.572857914
4754169.198834034,55482.055218649366,39649312.2854747,20156325.08354068
4974626.078144013,56619.31309568389,41144696.1038043,27774846.59924416
5205305.823658883,57836.7466419075,44022396.95549541,44832983.03884101
5446682.482701515,59088.80253936004,47284057.68271453,68902903.2953683
5699252.084772711,60369.18544905169,50787634.0559561,101410964.17012982
5963533.660892905,61678.55391851131,54500744.1923601,139505743.50023025
6240070.310211758,63017.58231395287,58295295.007767014,164622445.51231214
6529430.316078086,64386.96121302621,62247377.969846174,180210890.32789454
6832208.313863196,65787.3978076336,66467698.04487374,197265826.6606833
7149026.512937679,13731.800270033895,70777963.42866108,190236686.03710747
7480535.975312948,14132.310741266505,75310209.77433108,163647323.44967055
7827417.953574902,14544.502757119088,80137627.62196404,136686895.94532293
8190385.290859244,0.0,87069901.09748922,110294271.68798617
8570183.885745604,0.0,96590247.78498995,84837211.6453855
8967594.225080518,0.0,107151562.70500013,59431884.83672407
9383432.987879327,0.0,118867666.80298068,33585595.7318881
9818554.723603334,0.0,131864826.36827798,2726703.4080892955
10273853.608260343,0.0,141219375.02026692,0.0
10750265.281938285,0.0,147826759.03225866,0.0
11248768.771547334,0.0,154681674.07877344,0.0
11770388.50272204,0.0,161854460.2644673,0.0
12316196.4050181,0.0,169359857.67881638,0.0
12887314.114729632,0.0,177213289.928012,0.0
13484915.279853817,0.0,185430895.83050358,0.0
14110227.971939977,0.0,194029562.58230412,0.0
14764537.209778875,0.0,203026960.46020624,0.0
15449187.600118829,0.0,212441579.13423714,0.0
16165586.100835225,0.0,222292765.6639681,0.0
16915204.91223153,0.0,232600764.25675774,0.0
17699584.502413966,0.0,243386757.8696353,0.0
18520336.772956293,0.0,254672911.74032,0.0
19379148.371360768,0.0,266482418.93683052,0.0
20277784.157121826,0.0,278839548.0192785,0.0
21218090.828516014,0.0,291769692.91180956,0.0
22202000.71757035,0.0,305299425.08716977,0.0
23231535.761008453,0.0,319456548.1711269,0.0
24308811.65533425,0.0,334270155.07897806,0.0
25436042.20459264,0.0,349770687.80155146,0.0
26615543.869740922,0.0,365989999.9635466,0.0
27849740.52898061,0.0,382961422.28280574,0.0
29141168.458831623,0.0,400719831.0649938,0.0
30492481.54618577,0.0,419301719.8744792,0.0
31906456.742049195,0.0,438745274.52867633,0.0
33385999.768182218,0.0,459090451.5699811,0.0
34934151.08836287,0.0,480379060.3765301,0.0
36554092.156546265,0.0,502654849.0805685,0.0
38249151.95475839,0.0,525963594.47093296,0.0
40022813.83416042,0.0,550353196.0644466,0.0
41878722.673342496,0.0,575873774.5395229,0.0
43820692.36855599,0.0,602577774.7342538,0.0
45852713.67127786,0.0,630520073.4206495,0.0
47978962.38921222,0.0,659758092.0765061,0.0
50203807.967583865,0.0,690351914.8866738,0.0
52531822.46835623,0.0,722364412.2161582,0.0
54967789.9658278,0.0,755861369.808838,0.0
57516716.37791358,0.0,790911623.9773017,0.0
60183839.75331674,0.0,827587203.0616124,0.0
62974641.0357284,0.0,865963475.4476668,0.0
65894855.32717775,0.0,906119304.4493834,0.0
68950483.67367725,0.0,948137210.3729757,0.0
72147805.39738463,0.0,992103540.0963159,0.0
75493391.00062144,0.0,1038108644.5119658,0.0
78994115.66826843,0.0,1086247064.1984081,0.0
82657173.39628302,0.0,1136617723.7011344,0.0
86490091.77537592,0.0,1189324134.8227675,0.0
90500747.46022393,0.0,1244474609.3400311,0.0
94697382.35601087,0.0,1302182481.5846562,0.0
99088620.5555579,0.0,1358676538.3789704,0.0
103683486.06185192,0.0,1400195473.877403,0.0
108491421.3323893,0.0,1432292024.2678835,0.0
113522306.68344276,0.0,1465124320.8925004,0.0
118786480.59413125,0.0,1498709229.1936347,0.0
124294760.95201612,0.0,1533064001.2186263,0.0
130058467.28387801,0.0,1568206284.481894,0.0
136089444.0173677,0.0,1604154131.0301676,0.0
142400084.82132947,0.0,1640926006.7155871,0.0
149003358.0748113,0.0,1678540800.6812751,0.0
155912833.51711044,0.0,1717017835.064441,0.0
163142710.13361576,0.0,1756376874.9218392,0.0
170707845.33474654,0.0,1796638138.3827786,0.0
178623785.48796126,0.0,1837822307.03487,0.0
186906797.8655751,0.0,1879950536.5478072,0.0
195573904.07403168,0.0,1923044467.5407598,0.0
204642915.0333392,0.0,1967126236.6987636,0.0
214132467.5785472,0.0,2012218488.1440463,0.0
224062062.75847808,0.0,2058344385.06794,0.0
234452105.91041362,0.0,2105527621.6294289,0.0
245323948.5931133,0.0,2153792435.126521,0.0
256699932.4643028,0.0,2203163618.4465394,0.0
268603435.19282246,0.0,2253666532.801863,0.0
281058918.49978375,0.0,2305327120.757552,0.0
294091978.42745715,0.0,2358171919.5576954,0.0
307729397.9391814,0.0,2412228074.7571564,0.0
321999201.9584085,0.0,2467523354.165794,0.0
336930714.9599792,0.0,2524086162.112415,0.0
352554621.2319683,0.0,2581945554.035609,0.0
368903027.931959,0.0,2641131251.409036,0.0
386009531.06731874,0.0,2701673657.0090027,0.0
403909284.5350506,0.0,2753113344.7467885,0.0
422639072.3631232,0.0,2787318315.423511,0.0
442237384.3017233,0.0,2818257281.2502832,0.0
462744494.9197656,0.0,2849539666.6288037,0.0
484202546.36919624,0.0,2881169283.483119,0.0
506655634.9872187,0.0,2913149986.049289,0.0
530149901.9143395,0.0,2945485671.345049,0.0
554733627.9144986,0.0,2978180279.64462,0.0
580457332.5921361,0.0,3011237794.9589024,0.0
607373878.2100848,0.0,3044662245.520934,0.0
635538578.321608,0.0,3078457704.276754,0.0
665009311.439865,0.0,3112628289.38171,0.0
695846639.9783764,0.0,3147178164.702281,0.0
728113934.7068847,0.0,3182111540.3234625,0.0
761877504.978416,0.0,3217432673.0617766,0.0
797206734.9951378,0.0,3253145866.9840546,0.0
834174226.3930116,0.0,3289255473.931775,0.0
872855947.438302,0.0,3325765894.0514936,0.0
913331389.1425234,0.0,3362681576.3309574,0.0
955683728.6166,0.0,3400007019.1412497,0.0
1000000000.0,0.0,3437746770.7849417,0.0
