fe,fmu,ftau,chi2,ndof,shape_normalized
0.1,0.2,0.7,0.0002637844337066461,2,True
0.1,0.2333333333,0.6666666666666666,8.199783057185247e-05,2,True
0.1,0.2666666667,0.6333333333333333,1.6453139298792546e-05,2,True
0.1,0.3,0.6,4.774302772989224e-05,2,True
0.1,0.3333333333,0.5666666666666667,0.00015975902134594466,2,True
0.1,0.3666666667,0.5333333333333333,0.00033907408046571225,2,True
0.1,0.4,0.5,0.0005744536359903534,2,True
0.1,0.4333333333,0.4666666666666667,0.0008564656446092765,2,True
0.1,0.4666666667,0.43333333333333335,0.00117716760889395,2,True
0.1,0.5,0.4,0.0015298539091221322,2,True
0.1,0.5333333333,0.36666666666666664,0.0019088507753224312,2,True
0.1,0.5666666667,0.3333333333333333,0.0023093491818068877,2,True
0.1,0.6,0.3,0.0027272682199664952,2,True
0.1,0.6333333333,0.26666666666666666,0.003159143272218968,2,True
0.1,0.6666666667,0.23333333333333334,0.003602034762108291,2,True
0.1,0.7,0.2,0.004053454678692296,2,True
0.1,0.7333333333,0.16666666666666666,0.00451130986296276,2,True
0.1,0.7666666667,0.13333333333333333,0.0049738644804722554,2,True
0.1,0.8,0.1,0.005439734174262694,2,True
0.1,0.8333333333,0.06666666666666667,0.005907967919059285,2,True
0.1,0.8666666667,0.03333333333333333,0.006378607734843137,2,True
0.1,0.9,0.0,0.0068407706664029115,2,True
0.1333333333,0.0,0.8666666666666667,0.005528784571501266,2,True
0.1333333333,0.0333333333,0.8333333333333334,0.003973561390017005,2,True
0.1333333333,0.0666666667,0.8,0.0027627486091767795,2,True
0.1333333333,0.1,0.7666666666666666,0.0018353983311060783,2,True
0.1333333333,0.1333333333,0.7333333333333333,0.0011424266285568318,2,True
0.1333333333,0.1666666667,0.7,0.0006440069688180681,2,True
0.1333333333,0.2,0.6666666666666666,0.0003076060407196348,2,True
0.1333333333,0.2333333333,0.6333333333333333,0.00010648646203447749,2,True
0.1333333333,0.2666666667,0.6,1.8553424761993997e-05,2,True
0.1333333333,0.3,0.5666666666666667,2.545778778809777e-05,2,True
0.1333333333,0.3333333333,0.5333333333333333,0.00011189253355383687,2,True
0.1333333333,0.3666666667,0.5,0.00026503651176990116,2,True
0.1333333333,0.4,0.4666666666666667,0.00047411142204266713,2,True
0.1333333333,0.4333333333,0.43333333333333335,0.0007300266299382184,2,True
0.1333333333,0.4666666667,0.4,0.0010250926614643221,2,True
0.1333333333,0.5,0.36666666666666664,0.0013527888290017743,2,True
0.1333333333,0.5333333333,0.3333333333333333,0.001707573868138575,2,True
0.1333333333,0.5666666667,0.3,0.0020847310317871413,2,True
0.1333333333,0.6,0.26666666666666666,0.0024802411010863184,2,True
0.1333333333,0.6333333333,0.23333333333333334,0.002890678398927356,2,True
0.1333333333,0.6666666667,0.2,0.0033131263626501803,2,True
0.1333333333,0.7,0.16666666666666666,0.0037451110187751314,2,True
0.1333333333,0.7333333333,0.13333333333333333,0.004184553932539104,2,True
0.1333333333,0.7666666667,0.1,0.00462975550804413,2,True
0.1333333333,0.8,0.06666666666666667,0.005079460644339839,2,True
0.1333333333,0.8333333333,0.03333333333333333,0.0055333834686128345,2,True
0.1333333333,0.8666666667,0.0,0.005980187408303575,2,True
0.1666666667,0.0,0.8333333333333334,0.00550676002569655,2,True
0.1666666667,0.0333333333,0.8,0.003999189947763439,2,True
0.1666666667,0.0666666667,0.7666666666666666,0.0028157477515131364,2,True
0.1666666667,0.1,0.7333333333333333,0.0019006961802793564,2,True
0.1666666667,0.1333333333,0.7,0.0012088532350796658,2,True
0.1666666667,0.1666666667,0.6666666666666666,0.0007033335880456031,2,True
0.1666666667,0.2,0.6333333333333333,0.0003538327268547891,2,True
